tournament_id,tournament_name,league_band,first_seen_at_utc,last_seen_at_utc,first_scheduled_start_utc,latest_scheduled_start_utc,source
35126,Tournament A16. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T10:00:09.812000+00:00,2026-07-10T13:30:09.328000+00:00,api.league-pro.com
35127,Tournament A16. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T14:00:09.220000+00:00,2026-07-10T17:30:07.431000+00:00,api.league-pro.com
35128,Tournament A16. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T18:00:09.356000+00:00,2026-07-10T21:30:06.511000+00:00,api.league-pro.com
35129,Tournament A17. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T14:00:07.032000+00:00,2026-07-10T17:30:09.826000+00:00,api.league-pro.com
35130,Tournament A17. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T18:00:13.214000+00:00,2026-07-10T21:30:19.226000+00:00,api.league-pro.com
35131,Tournament A18. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T10:00:21.401000+00:00,2026-07-10T13:30:19.424000+00:00,api.league-pro.com
35132,Tournament A18. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T14:00:11.095000+00:00,2026-07-10T17:30:09.164000+00:00,api.league-pro.com
35133,Tournament A18. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-24T12:33:17.461110+00:00,2026-07-10T06:00:41.512000+00:00,2026-07-10T09:30:17.048000+00:00,api.league-pro.com
35134,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T22:00:39.231000+00:00,2026-07-11T03:30:15.236000+00:00,api.league-pro.com
35135,Tournament A18. League 400-450,400-450,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-10T18:00:10.751000+00:00,2026-07-10T21:30:09.795000+00:00,api.league-pro.com
35136,Tournament A12. League 350-400,350-400,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T06:00:09.685000+00:00,2026-07-11T09:30:10.188000+00:00,api.league-pro.com
35137,Tournament A12. League 350-400,350-400,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T10:00:08.276000+00:00,2026-07-11T13:30:07.303000+00:00,api.league-pro.com
35138,Tournament A12. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T14:00:05.840000+00:00,2026-07-11T17:30:08.099000+00:00,api.league-pro.com
35139,Tournament A12. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T18:00:07.113000+00:00,2026-07-11T21:30:06.827000+00:00,api.league-pro.com
35140,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T22:00:03.563000+00:00,2026-07-12T03:29:57.454000+00:00,api.league-pro.com
35141,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T06:00:19.145000+00:00,2026-07-11T09:30:09.349000+00:00,api.league-pro.com
35142,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T10:00:12.946000+00:00,2026-07-11T13:30:35.875000+00:00,api.league-pro.com
35143,Tournament A14. League 800-900,800-900,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T14:00:40.994000+00:00,2026-07-11T17:30:22.716000+00:00,api.league-pro.com
35144,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48+00:00,2026-07-11T18:00:14.323000+00:00,2026-07-11T21:30:24.191000+00:00,api.league-pro.com
